code,name,prev_shares,curr_shares,delta,status
5439,高技,0,1404000,1404000,NEW
8210,勤誠,64000,864000,800000,UP
1303,南亞,19943000,20441000,498000,UP
2327,國巨*,12614000,12928000,314000,UP
2449,京元電子,8903000,9125000,222000,UP
1326,台化,9002000,9223000,221000,UP
6147,頎邦,7692000,7884000,192000,UP
2330,台積電,5827000,6013000,186000,UP
2368,金像電,6607000,6771000,164000,UP
3711,日月光投控,6259000,6415000,156000,UP
2454,聯發科,528000,679000,151000,UP
2002,中鋼,4930000,5051000,121000,UP
2308,台達電,4450000,4560000,110000,UP
6669,緯穎,77000,175000,98000,UP
2345,智邦,3726000,3818000,92000,UP
6191,精成科,3402000,3485000,83000,UP
3665,貿聯-KY,3132848,3210848,78000,UP
3017,奇鋐,3066000,3142000,76000,UP
3264,欣銓,2916000,2988000,72000,UP
2383,台光電,2861000,2932000,71000,UP
3189,景碩,2697000,2764000,67000,UP
3653,健策,1734000,1777000,43000,UP
2481,強茂,1637000,1676000,39000,UP
3376,新日興,1429000,1464000,35000,UP
6223,旺矽,1434000,1469000,35000,UP
6488,環球晶,1380000,1414000,34000,UP
6805,富世達,1160000,1188000,28000,UP
2404,漢唐,784000,803000,19000,UP
3217,優群,484000,495000,11000,UP
5274,信驊,323000,331000,8000,UP
6515,穎崴,283000,290000,7000,UP
3661,世芯-KY,236000,241000,5000,UP
1319,東陽,491000,492000,1000,UP
2313,華通,8000,9000,1000,UP
2357,華碩,9000,10000,1000,UP
2439,美律,9000,10000,1000,UP
3045,台灣大,9000,10000,1000,UP
3324,雙鴻,161000,162000,1000,UP
5347,世界,8000,9000,1000,UP
6510,精測,605000,606000,1000,UP
3211,順達,3902000,3849000,-53000,DOWN
1815,富喬,6000,6000,0,SAME
3008,大立光,11000,11000,0,SAME
3037,欣興,9287000,9287000,0,SAME
3443,創意,271000,271000,0,SAME
3583,辛耘,527000,527000,0,SAME
4979,華星光,1037000,1037000,0,SAME
6187,萬潤,388000,388000,0,SAME
6274,台燿,2954000,2954000,0,SAME
8046,南電,8269000,8269000,0,SAME
8358,金居,4809000,4809000,0,SAME
8996,高力,535000,535000,0,SAME
