code,name,prev_shares,curr_shares,delta,status
1815,富喬,0,2638000,2638000,NEW
1802,台玻,0,2065000,2065000,NEW
8046,南電,0,1032000,1032000,NEW
3037,欣興,0,822000,822000,NEW
6488,環球晶,0,321000,321000,NEW
2313,華通,2651000,5013000,2362000,UP
2327,國巨*,2972000,4804000,1832000,UP
1319,東陽,1575000,2563000,988000,UP
6274,台燿,4877000,5074000,197000,UP
6515,穎崴,91000,135000,44000,UP
6139,亞翔,627000,668000,41000,UP
6669,緯穎,710000,722000,12000,UP
3653,健策,758000,767000,9000,UP
2330,台積電,3112000,3065000,-47000,DOWN
8996,高力,51000,1000,-50000,DOWN
2383,台光電,1578000,1499000,-79000,DOWN
2059,川湖,232000,147000,-85000,DOWN
6223,旺矽,1069000,962000,-107000,DOWN
5536,聖暉*,513000,17000,-496000,DOWN
2454,聯發科,1383000,733000,-650000,DOWN
2449,京元電子,955000,1000,-954000,DOWN
3715,定穎投控,2002960,1960,-2001000,DOWN
2317,鴻海,8470000,2937000,-5533000,DOWN
2354,鴻準,1000,0,-1000,OUT
3044,健鼎,1000,0,-1000,OUT
3081,聯亞,1000,0,-1000,OUT
3515,華擎,296000,0,-296000,OUT
2404,漢唐,806000,0,-806000,OUT
1303,南亞,7149000,7149000,0,SAME
1605,華新,4454000,4454000,0,SAME
2308,台達電,2679000,2679000,0,SAME
2337,旺宏,8886000,8886000,0,SAME
2345,智邦,2526000,2526000,0,SAME
2357,華碩,2000,2000,0,SAME
2368,金像電,3885000,3885000,0,SAME
2439,美律,2000,2000,0,SAME
2884,玉山金,2010,2010,0,SAME
3008,大立光,3000,3000,0,SAME
3017,奇鋐,2290000,2290000,0,SAME
3045,台灣大,2000,2000,0,SAME
3211,順達,570000,570000,0,SAME
3217,優群,326000,326000,0,SAME
3376,新日興,454000,454000,0,SAME
3533,嘉澤,376000,376000,0,SAME
3583,辛耘,2000,2000,0,SAME
3661,世芯-KY,458000,458000,0,SAME
3665,貿聯-KY,1483848,1483848,0,SAME
3711,日月光投控,2000,2000,0,SAME
4958,臻鼎-KY,1000,1000,0,SAME
50,元大台灣50,10871000,10871000,0,SAME
52,富邦科技,9274000,9274000,0,SAME
5269,祥碩,262000,262000,0,SAME
5274,信驊,142000,142000,0,SAME
6191,精成科,3238000,3238000,0,SAME
6510,精測,2000,2000,0,SAME
6805,富世達,1016000,1016000,0,SAME
8210,勤誠,1513000,1513000,0,SAME
8299,群聯,1358000,1358000,0,SAME
8358,金居,2026000,2026000,0,SAME
