code,name,shares
2303,聯電,46374000
2327,國巨*,17221000
2317,鴻海,14177000
2449,京元電子,12919000
8046,南電,12658000
3711,日月光投控,11259000
2330,台積電,11157000
3037,欣興,10387000
3264,欣銓,8608000
2368,金像電,8260000
6147,頎邦,7985000
2345,智邦,6231000
2308,台達電,6218000
8358,金居,5558000
3189,景碩,5360000
2002,中鋼,5163000
3665,貿聯-KY,4703848
2383,台光電,4605000
2454,聯發科,4463000
3017,奇鋐,4082000
6191,精成科,3988000
6274,台燿,3778000
2481,強茂,3654000
5439,高技,3228000
2337,旺宏,3056000
2313,華通,2624000
3653,健策,2267000
6223,旺矽,1922000
6669,緯穎,1819000
6805,富世達,1761000
3376,新日興,1741000
8210,勤誠,1340000
6187,萬潤,1224000
2404,漢唐,1093000
8996,高力,1034000
2357,華碩,975000
6510,精測,930000
3217,優群,874000
6415,矽力*-KY,660000
3443,創意,616000
1590,亞德客-KY,530000
1319,東陽,511000
5274,信驊,483000
8150,南茂,468000
6515,穎崴,422000
4966,譜瑞-KY,386000
3661,世芯-KY,296000
1815,富喬,107000
5347,世界,63000
2439,美律,18000
