code,name,prev_shares,curr_shares,delta,status
1303,南亞,19743000,19743000,0,SAME
1319,東陽,1504000,1504000,0,SAME
1326,台化,9001000,9001000,0,SAME
1815,富喬,5000,5000,0,SAME
2002,中鋼,4929000,4929000,0,SAME
2308,台達電,4379000,4379000,0,SAME
2313,華通,7000,7000,0,SAME
2327,國巨*,11083000,11083000,0,SAME
2330,台積電,5428000,5428000,0,SAME
2345,智邦,3646000,3646000,0,SAME
2357,華碩,8000,8000,0,SAME
2368,金像電,6607000,6607000,0,SAME
2383,台光電,2807000,2807000,0,SAME
2404,漢唐,595000,595000,0,SAME
2439,美律,8000,8000,0,SAME
2449,京元電子,7512000,7512000,0,SAME
2454,聯發科,508000,508000,0,SAME
2481,強茂,1636000,1636000,0,SAME
3008,大立光,10000,10000,0,SAME
3017,奇鋐,3026000,3026000,0,SAME
3037,欣興,7410000,7410000,0,SAME
3045,台灣大,8000,8000,0,SAME
3189,景碩,2657000,2657000,0,SAME
3211,順達,4086000,4086000,0,SAME
3217,優群,477000,477000,0,SAME
3264,欣銓,2870000,2870000,0,SAME
3324,雙鴻,160000,160000,0,SAME
3376,新日興,1428000,1428000,0,SAME
3443,創意,267000,267000,0,SAME
3583,辛耘,8000,8000,0,SAME
3653,健策,1595000,1595000,0,SAME
3661,世芯-KY,275000,275000,0,SAME
3665,貿聯-KY,3052848,3052848,0,SAME
3711,日月光投控,6159000,6159000,0,SAME
4979,華星光,1037000,1037000,0,SAME
5274,信驊,318000,318000,0,SAME
5347,世界,5845000,5845000,0,SAME
6139,亞翔,1559000,1559000,0,SAME
6187,萬潤,388000,388000,0,SAME
6191,精成科,3402000,3402000,0,SAME
6223,旺矽,1414000,1414000,0,SAME
6274,台燿,1773000,1773000,0,SAME
6488,環球晶,1330000,1330000,0,SAME
6510,精測,604000,604000,0,SAME
6515,穎崴,268000,268000,0,SAME
6669,緯穎,76000,76000,0,SAME
6805,富世達,1130000,1130000,0,SAME
8046,南電,6895000,6895000,0,SAME
8210,勤誠,480000,480000,0,SAME
8358,金居,1955000,1955000,0,SAME
8996,高力,515000,515000,0,SAME
