code,name,shares
1303,南亞,16352000
2327,國巨*,13418000
2449,京元電子,9479000
3037,欣興,9287000
8046,南電,8389000
6147,頎邦,7884000
2368,金像電,6971000
3711,日月光投控,6679000
2330,台積電,6256000
8358,金居,5508000
2002,中鋼,5156000
2308,台達電,4711000
2345,智邦,3963000
3211,順達,3702000
6191,精成科,3664000
2481,強茂,3648000
3665,貿聯-KY,3332848
3017,奇鋐,3272000
3264,欣銓,3055000
6274,台燿,3019000
2383,台光電,3012000
3189,景碩,2825000
3653,健策,1906000
5439,高技,1756000
2454,聯發科,1540000
6223,旺矽,1521000
3376,新日興,1497000
6488,環球晶,1465000
6805,富世達,1404000
4979,華星光,1037000
8210,勤誠,964000
2404,漢唐,821000
6510,精測,633000
3217,優群,556000
8996,高力,535000
3583,辛耘,527000
1319,東陽,504000
6187,萬潤,396000
5274,信驊,350000
6515,穎崴,311000
3443,創意,271000
3661,世芯-KY,256000
6669,緯穎,199000
3324,雙鴻,166000
1815,富喬,106000
2313,華通,60000
3008,大立光,12000
2439,美律,11000
2357,華碩,11000
3045,台灣大,11000
5347,世界,10000
