code,name,shares
2303,聯電,29889000
2327,國巨*,14288000
2449,京元電子,10180000
3037,欣興,9287000
8046,南電,8972000
2330,台積電,8218000
1303,南亞,8015000
6147,頎邦,7884000
3711,日月光投控,7419000
2368,金像電,7389000
2317,鴻海,6715000
2308,台達電,5839000
8358,金居,5558000
2002,中鋼,5160000
2345,智邦,4902000
3264,欣銓,4745000
3211,順達,3880000
6191,精成科,3865000
3665,貿聯-KY,3812848
3017,奇鋐,3727000
2383,台光電,3681000
2481,強茂,3651000
2454,聯發科,3194000
6274,台燿,3019000
3189,景碩,2862000
5439,高技,2791000
3653,健策,2198000
6223,旺矽,1720000
6805,富世達,1646000
3376,新日興,1561000
2404,漢唐,1058000
4979,華星光,1037000
8210,勤誠,1019000
6488,環球晶,949000
6669,緯穎,923000
6510,精測,781000
3217,優群,780000
2313,華通,764000
3661,世芯-KY,673000
6415,矽力*-KY,660000
8996,高力,535000
3583,辛耘,527000
1319,東陽,508000
6187,萬潤,461000
6515,穎崴,357000
5274,信驊,351000
3443,創意,271000
3324,雙鴻,170000
1815,富喬,107000
7769,鴻勁,95000
5347,世界,61000
3008,大立光,15000
2357,華碩,15000
2439,美律,15000
