code,name,prev_shares,curr_shares,delta,status
8358,金居,2750000,4809000,2059000,UP
2327,國巨*,11083000,12614000,1531000,UP
2449,京元電子,7512000,8903000,1391000,UP
2330,台積電,5518000,5827000,309000,UP
6274,台燿,2670000,2954000,284000,UP
1303,南亞,19743000,19943000,200000,UP
3037,欣興,9147000,9287000,140000,UP
3711,日月光投控,6159000,6259000,100000,UP
2345,智邦,3646000,3726000,80000,UP
3665,貿聯-KY,3052848,3132848,80000,UP
8046,南電,8189000,8269000,80000,UP
2308,台達電,4379000,4450000,71000,UP
6488,環球晶,1330000,1380000,50000,UP
3264,欣銓,2870000,2916000,46000,UP
3017,奇鋐,3026000,3066000,40000,UP
3189,景碩,2657000,2697000,40000,UP
3653,健策,1694000,1734000,40000,UP
6805,富世達,1130000,1160000,30000,UP
8210,勤誠,34000,64000,30000,UP
2404,漢唐,764000,784000,20000,UP
2454,聯發科,508000,528000,20000,UP
6223,旺矽,1414000,1434000,20000,UP
8996,高力,515000,535000,20000,UP
6515,穎崴,268000,283000,15000,UP
3217,優群,477000,484000,7000,UP
5274,信驊,318000,323000,5000,UP
3443,創意,267000,271000,4000,UP
3661,世芯-KY,233000,236000,3000,UP
1326,台化,9001000,9002000,1000,UP
1815,富喬,5000,6000,1000,UP
2002,中鋼,4929000,4930000,1000,UP
2313,華通,7000,8000,1000,UP
2357,華碩,8000,9000,1000,UP
2439,美律,8000,9000,1000,UP
2481,強茂,1636000,1637000,1000,UP
3008,大立光,10000,11000,1000,UP
3045,台灣大,8000,9000,1000,UP
3324,雙鴻,160000,161000,1000,UP
3376,新日興,1428000,1429000,1000,UP
3583,辛耘,526000,527000,1000,UP
6510,精測,604000,605000,1000,UP
6669,緯穎,76000,77000,1000,UP
3211,順達,4086000,3902000,-184000,DOWN
1319,東陽,982000,491000,-491000,DOWN
5347,世界,5845000,8000,-5837000,DOWN
6139,亞翔,1559000,0,-1559000,OUT
2368,金像電,6607000,6607000,0,SAME
2383,台光電,2861000,2861000,0,SAME
4979,華星光,1037000,1037000,0,SAME
6147,頎邦,7692000,7692000,0,SAME
6187,萬潤,388000,388000,0,SAME
6191,精成科,3402000,3402000,0,SAME
