code,name,shares
1303,南亞,19943000
2327,國巨*,12614000
3037,欣興,9287000
1326,台化,9002000
2449,京元電子,8903000
8046,南電,8269000
6147,頎邦,7692000
2368,金像電,6607000
3711,日月光投控,6259000
2330,台積電,5827000
2002,中鋼,4930000
8358,金居,4809000
2308,台達電,4450000
3211,順達,3902000
2345,智邦,3726000
6191,精成科,3402000
3665,貿聯-KY,3132848
3017,奇鋐,3066000
6274,台燿,2954000
3264,欣銓,2916000
2383,台光電,2861000
3189,景碩,2697000
3653,健策,1734000
2481,強茂,1637000
6223,旺矽,1434000
3376,新日興,1429000
6488,環球晶,1380000
6805,富世達,1160000
4979,華星光,1037000
2404,漢唐,784000
6510,精測,605000
8996,高力,535000
2454,聯發科,528000
3583,辛耘,527000
1319,東陽,491000
3217,優群,484000
6187,萬潤,388000
5274,信驊,323000
6515,穎崴,283000
3443,創意,271000
3661,世芯-KY,236000
3324,雙鴻,161000
6669,緯穎,77000
8210,勤誠,64000
3008,大立光,11000
2439,美律,9000
2357,華碩,9000
3045,台灣大,9000
2313,華通,8000
5347,世界,8000
1815,富喬,6000
