code,name,prev_shares,curr_shares,delta,status
8358,金居,4809000,5389000,580000,UP
2454,聯發科,679000,1067000,388000,UP
5439,高技,1404000,1719000,315000,UP
2327,國巨*,12928000,13128000,200000,UP
2449,京元電子,9125000,9275000,150000,UP
3711,日月光投控,6415000,6535000,120000,UP
6805,富世達,1188000,1308000,120000,UP
8046,南電,8269000,8389000,120000,UP
2330,台積電,6013000,6121000,108000,UP
1815,富喬,6000,106000,100000,UP
6191,精成科,3485000,3585000,100000,UP
2383,台光電,2932000,3012000,80000,UP
8210,勤誠,864000,944000,80000,UP
2345,智邦,3818000,3878000,60000,UP
3017,奇鋐,3142000,3202000,60000,UP
3653,健策,1777000,1837000,60000,UP
2308,台達電,4560000,4610000,50000,UP
2313,華通,9000,59000,50000,UP
2368,金像電,6771000,6821000,50000,UP
3217,優群,495000,545000,50000,UP
3665,貿聯-KY,3210848,3260848,50000,UP
2481,強茂,1676000,1716000,40000,UP
6223,旺矽,1469000,1489000,20000,UP
6488,環球晶,1414000,1434000,20000,UP
6669,緯穎,175000,195000,20000,UP
6515,穎崴,290000,305000,15000,UP
6510,精測,606000,620000,14000,UP
5274,信驊,331000,343000,12000,UP
3661,世芯-KY,241000,251000,10000,UP
1319,東陽,492000,493000,1000,UP
2002,中鋼,5051000,5052000,1000,UP
2357,華碩,10000,11000,1000,UP
2404,漢唐,803000,804000,1000,UP
2439,美律,10000,11000,1000,UP
3008,大立光,11000,12000,1000,UP
3045,台灣大,10000,11000,1000,UP
3211,順達,3849000,3850000,1000,UP
3264,欣銓,2988000,2989000,1000,UP
3324,雙鴻,162000,163000,1000,UP
3376,新日興,1464000,1465000,1000,UP
5347,世界,9000,10000,1000,UP
1303,南亞,20441000,16352000,-4089000,DOWN
1326,台化,9223000,0,-9223000,OUT
3037,欣興,9287000,9287000,0,SAME
3189,景碩,2764000,2764000,0,SAME
3443,創意,271000,271000,0,SAME
3583,辛耘,527000,527000,0,SAME
4979,華星光,1037000,1037000,0,SAME
6147,頎邦,7884000,7884000,0,SAME
6187,萬潤,388000,388000,0,SAME
6274,台燿,2954000,2954000,0,SAME
8996,高力,535000,535000,0,SAME
