code,name,shares
2303,聯電,29505000
2327,國巨*,14238000
2449,京元電子,10050000
3037,欣興,9287000
8046,南電,8852000
2330,台積電,8068000
1303,南亞,8014000
6147,頎邦,7884000
2368,金像電,7389000
3711,日月光投控,7369000
2308,台達電,5819000
8358,金居,5558000
2002,中鋼,5159000
2345,智邦,4840000
3264,欣銓,4715000
6191,精成科,3864000
3211,順達,3860000
3665,貿聯-KY,3692848
3017,奇鋐,3667000
2481,強茂,3650000
2383,台光電,3358000
6274,台燿,3019000
3189,景碩,2826000
5439,高技,2756000
2454,聯發科,2674000
3653,健策,2168000
6223,旺矽,1698000
6805,富世達,1596000
3376,新日興,1560000
2404,漢唐,1057000
4979,華星光,1037000
8210,勤誠,1006000
6488,環球晶,948000
6669,緯穎,794000
6510,精測,781000
2313,華通,714000
3661,世芯-KY,665000
6415,矽力*-KY,630000
3217,優群,630000
8996,高力,535000
3583,辛耘,527000
1319,東陽,507000
6187,萬潤,456000
6515,穎崴,353000
5274,信驊,351000
3443,創意,271000
3324,雙鴻,169000
1815,富喬,106000
7769,鴻勁,94000
3008,大立光,14000
2439,美律,14000
2357,華碩,14000
5347,世界,11000
