code,name,prev_shares,curr_shares,delta,status
3264,欣銓,6994000,8608000,1614000,UP
2357,華碩,17000,975000,958000,UP
6274,台燿,3257000,3778000,521000,UP
2330,台積電,10714000,11157000,443000,UP
8210,勤誠,1117000,1340000,223000,UP
2317,鴻海,13977000,14177000,200000,UP
3711,日月光投控,11059000,11259000,200000,UP
3017,奇鋐,3902000,4082000,180000,UP
3443,創意,488000,616000,128000,UP
2308,台達電,6118000,6218000,100000,UP
2337,旺宏,2956000,3056000,100000,UP
2345,智邦,6131000,6231000,100000,UP
2383,台光電,4505000,4605000,100000,UP
2454,聯發科,4363000,4463000,100000,UP
8150,南茂,368000,468000,100000,UP
8996,高力,934000,1034000,100000,UP
3665,貿聯-KY,4623848,4703848,80000,UP
5439,高技,3178000,3228000,50000,UP
6669,緯穎,1769000,1819000,50000,UP
3217,優群,844000,874000,30000,UP
3376,新日興,1711000,1741000,30000,UP
6515,穎崴,397000,422000,25000,UP
1590,亞德客-KY,510000,530000,20000,UP
6805,富世達,1741000,1761000,20000,UP
4966,譜瑞-KY,376000,386000,10000,UP
5274,信驊,473000,483000,10000,UP
1319,東陽,510000,511000,1000,UP
2002,中鋼,5162000,5163000,1000,UP
2313,華通,2623000,2624000,1000,UP
2327,國巨*,17220000,17221000,1000,UP
2404,漢唐,1092000,1093000,1000,UP
2439,美律,17000,18000,1000,UP
2449,京元電子,12918000,12919000,1000,UP
2481,強茂,3653000,3654000,1000,UP
3037,欣興,10386000,10387000,1000,UP
3189,景碩,5359000,5360000,1000,UP
6147,頎邦,7984000,7985000,1000,UP
6187,萬潤,1223000,1224000,1000,UP
6191,精成科,3987000,3988000,1000,UP
6223,旺矽,1921000,1922000,1000,UP
8046,南電,12657000,12658000,1000,UP
4979,華星光,1000,0,-1000,OUT
1815,富喬,107000,107000,0,SAME
2303,聯電,46374000,46374000,0,SAME
2368,金像電,8260000,8260000,0,SAME
3653,健策,2267000,2267000,0,SAME
3661,世芯-KY,296000,296000,0,SAME
5347,世界,63000,63000,0,SAME
6415,矽力*-KY,660000,660000,0,SAME
6510,精測,930000,930000,0,SAME
8358,金居,5558000,5558000,0,SAME
