code,name,shares
2303,聯電,28030000
2327,國巨*,13568000
2449,京元電子,9529000
3037,欣興,9287000
8046,南電,8609000
1303,南亞,8012000
6147,頎邦,7884000
2368,金像電,7091000
3711,日月光投控,6879000
2330,台積電,6556000
8358,金居,5508000
2002,中鋼,5157000
2308,台達電,5103000
2345,智邦,4253000
6191,精成科,3814000
3211,順達,3703000
2481,強茂,3648000
3665,貿聯-KY,3467848
3017,奇鋐,3405000
3264,欣銓,3355000
6274,台燿,3019000
2383,台光電,3012000
3189,景碩,2826000
5439,高技,2156000
3653,健策,1986000
2454,聯發科,1870000
6223,旺矽,1582000
3376,新日興,1498000
6805,富世達,1474000
4979,華星光,1037000
2404,漢唐,1014000
8210,勤誠,965000
6488,環球晶,886000
6510,精測,683000
3217,優群,557000
8996,高力,535000
3583,辛耘,527000
1319,東陽,505000
6187,萬潤,419000
5274,信驊,351000
6669,緯穎,349000
3661,世芯-KY,336000
6515,穎崴,331000
3443,創意,271000
3324,雙鴻,167000
2313,華通,110000
1815,富喬,106000
7769,鴻勁,91000
3008,大立光,13000
2439,美律,12000
2357,華碩,12000
3045,台灣大,12000
5347,世界,10000
