code,name,prev_shares,curr_shares,delta,status
2330,台積電,5023000,5428000,405000,UP
2327,國巨*,10883000,11083000,200000,UP
2449,京元電子,7332000,7512000,180000,UP
2368,金像電,5931000,6081000,150000,UP
8046,南電,6057000,6189000,132000,UP
5347,世界,5720000,5845000,125000,UP
3217,優群,357000,477000,120000,UP
1303,南亞,19643000,19743000,100000,UP
3264,欣銓,1890000,1990000,100000,UP
3711,日月光投控,6059000,6159000,100000,UP
3211,順達,3999000,4086000,87000,UP
2345,智邦,3436000,3496000,60000,UP
2383,台光電,2636000,2696000,60000,UP
6805,富世達,782000,842000,60000,UP
8358,金居,1895000,1955000,60000,UP
3017,奇鋐,2976000,3026000,50000,UP
3665,貿聯-KY,2898848,2948848,50000,UP
6274,台燿,925000,975000,50000,UP
3653,健策,1478000,1518000,40000,UP
6488,環球晶,1702000,1739000,37000,UP
6139,亞翔,1526000,1559000,33000,UP
5274,信驊,288000,318000,30000,UP
8996,高力,485000,515000,30000,UP
2404,漢唐,575000,595000,20000,UP
2454,聯發科,488000,508000,20000,UP
2308,台達電,4369000,4379000,10000,UP
6223,旺矽,1404000,1414000,10000,UP
1319,東陽,1503000,1504000,1000,UP
1326,台化,9000000,9001000,1000,UP
1815,富喬,4000,5000,1000,UP
2002,中鋼,4928000,4929000,1000,UP
2313,華通,6000,7000,1000,UP
2357,華碩,7000,8000,1000,UP
2439,美律,7000,8000,1000,UP
3008,大立光,9000,10000,1000,UP
3045,台灣大,7000,8000,1000,UP
3376,新日興,1427000,1428000,1000,UP
3443,創意,266000,267000,1000,UP
3583,辛耘,7000,8000,1000,UP
3661,世芯-KY,274000,275000,1000,UP
6191,精成科,3401000,3402000,1000,UP
6510,精測,603000,604000,1000,UP
6669,緯穎,75000,76000,1000,UP
2408,南亞科,1307000,0,-1307000,OUT
3037,欣興,7410000,7410000,0,SAME
3189,景碩,2657000,2657000,0,SAME
3324,雙鴻,160000,160000,0,SAME
4979,華星光,1037000,1037000,0,SAME
6187,萬潤,388000,388000,0,SAME
6515,穎崴,268000,268000,0,SAME
8210,勤誠,1240000,1240000,0,SAME
