code,name,shares
2303,聯電,29205000
2327,國巨*,14138000
2449,京元電子,9930000
3037,欣興,9287000
8046,南電,8609000
1303,南亞,8013000
6147,頎邦,7884000
2368,金像電,7389000
3711,日月光投控,7167000
2330,台積電,7131000
8358,金居,5508000
2308,台達電,5317000
2002,中鋼,5158000
3264,欣銓,4715000
2345,智邦,4431000
3211,順達,3859000
6191,精成科,3814000
2481,強茂,3649000
3665,貿聯-KY,3612848
3017,奇鋐,3547000
2383,台光電,3138000
6274,台燿,3019000
3189,景碩,2826000
5439,高技,2656000
3653,健策,2108000
2454,聯發科,1948000
6223,旺矽,1648000
3376,新日興,1560000
6805,富世達,1536000
2404,漢唐,1056000
4979,華星光,1037000
8210,勤誠,1005000
6488,環球晶,923000
6510,精測,711000
6669,緯穎,582000
3217,優群,580000
8996,高力,535000
3583,辛耘,527000
1319,東陽,506000
6187,萬潤,436000
5274,信驊,351000
3661,世芯-KY,350000
6515,穎崴,344000
3443,創意,271000
3324,雙鴻,168000
2313,華通,114000
1815,富喬,106000
7769,鴻勁,94000
2357,華碩,13000
3008,大立光,13000
2439,美律,13000
3045,台灣大,13000
5347,世界,10000
