code,name,shares
1303,南亞,16352000
2327,國巨*,13128000
3037,欣興,9287000
2449,京元電子,9275000
8046,南電,8389000
6147,頎邦,7884000
2368,金像電,6821000
3711,日月光投控,6535000
2330,台積電,6121000
8358,金居,5389000
2002,中鋼,5052000
2308,台達電,4610000
2345,智邦,3878000
3211,順達,3850000
6191,精成科,3585000
3665,貿聯-KY,3260848
3017,奇鋐,3202000
2383,台光電,3012000
3264,欣銓,2989000
6274,台燿,2954000
3189,景碩,2764000
3653,健策,1837000
5439,高技,1719000
2481,強茂,1716000
6223,旺矽,1489000
3376,新日興,1465000
6488,環球晶,1434000
6805,富世達,1308000
2454,聯發科,1067000
4979,華星光,1037000
8210,勤誠,944000
2404,漢唐,804000
6510,精測,620000
3217,優群,545000
8996,高力,535000
3583,辛耘,527000
1319,東陽,493000
6187,萬潤,388000
5274,信驊,343000
6515,穎崴,305000
3443,創意,271000
3661,世芯-KY,251000
6669,緯穎,195000
3324,雙鴻,163000
1815,富喬,106000
2313,華通,59000
3008,大立光,12000
2439,美律,11000
2357,華碩,11000
3045,台灣大,11000
5347,世界,10000
