code,name,prev_shares,curr_shares,delta,status
3264,欣銓,3355000,4715000,1360000,UP
2303,聯電,28030000,29205000,1175000,UP
2330,台積電,6556000,7131000,575000,UP
2327,國巨*,13568000,14138000,570000,UP
5439,高技,2156000,2656000,500000,UP
2449,京元電子,9529000,9930000,401000,UP
2368,金像電,7091000,7389000,298000,UP
3711,日月光投控,6879000,7167000,288000,UP
6669,緯穎,349000,582000,233000,UP
2308,台達電,5103000,5317000,214000,UP
2345,智邦,4253000,4431000,178000,UP
3211,順達,3703000,3859000,156000,UP
3665,貿聯-KY,3467848,3612848,145000,UP
3017,奇鋐,3405000,3547000,142000,UP
2383,台光電,3012000,3138000,126000,UP
3653,健策,1986000,2108000,122000,UP
2454,聯發科,1870000,1948000,78000,UP
6223,旺矽,1582000,1648000,66000,UP
3376,新日興,1498000,1560000,62000,UP
6805,富世達,1474000,1536000,62000,UP
2404,漢唐,1014000,1056000,42000,UP
8210,勤誠,965000,1005000,40000,UP
6488,環球晶,886000,923000,37000,UP
6510,精測,683000,711000,28000,UP
3217,優群,557000,580000,23000,UP
6187,萬潤,419000,436000,17000,UP
3661,世芯-KY,336000,350000,14000,UP
6515,穎崴,331000,344000,13000,UP
2313,華通,110000,114000,4000,UP
7769,鴻勁,91000,94000,3000,UP
1303,南亞,8012000,8013000,1000,UP
1319,東陽,505000,506000,1000,UP
2002,中鋼,5157000,5158000,1000,UP
2357,華碩,12000,13000,1000,UP
2439,美律,12000,13000,1000,UP
2481,強茂,3648000,3649000,1000,UP
3045,台灣大,12000,13000,1000,UP
3324,雙鴻,167000,168000,1000,UP
1815,富喬,106000,106000,0,SAME
3008,大立光,13000,13000,0,SAME
3037,欣興,9287000,9287000,0,SAME
3189,景碩,2826000,2826000,0,SAME
3443,創意,271000,271000,0,SAME
3583,辛耘,527000,527000,0,SAME
4979,華星光,1037000,1037000,0,SAME
5274,信驊,351000,351000,0,SAME
5347,世界,10000,10000,0,SAME
6147,頎邦,7884000,7884000,0,SAME
6191,精成科,3814000,3814000,0,SAME
6274,台燿,3019000,3019000,0,SAME
8046,南電,8609000,8609000,0,SAME
8358,金居,5508000,5508000,0,SAME
8996,高力,535000,535000,0,SAME
