code,name,shares
50,元大台灣50,10871000
52,富邦科技,9274000
2337,旺宏,8886000
2317,鴻海,8470000
1303,南亞,7149000
6274,台燿,4877000
2368,金像電,3885000
6191,精成科,3138000
2330,台積電,3112000
2308,台達電,2656000
2313,華通,2651000
1605,華新,2551000
2345,智邦,2526000
2327,國巨*,2321000
3017,奇鋐,2290000
8358,金居,2026000
3715,定穎投控,2002960
2383,台光電,1578000
1319,東陽,1575000
8210,勤誠,1513000
3665,貿聯-KY,1483848
2454,聯發科,1383000
8299,群聯,1358000
6223,旺矽,1069000
6805,富世達,1016000
2449,京元電子,955000
2404,漢唐,806000
3653,健策,758000
6669,緯穎,710000
6139,亞翔,627000
3211,順達,570000
5536,聖暉*,513000
3661,世芯-KY,458000
3376,新日興,454000
3515,華擎,423000
3533,嘉澤,376000
3217,優群,326000
2059,川湖,232000
5269,祥碩,209000
5274,信驊,142000
6515,穎崴,91000
8996,高力,51000
3008,大立光,3000
2884,玉山金,2010
2357,華碩,2000
2439,美律,2000
6510,精測,2000
3045,台灣大,2000
3583,辛耘,2000
3711,日月光投控,2000
2354,鴻準,1000
4958,臻鼎-KY,1000
3081,聯亞,1000
3044,健鼎,1000
