code,name,prev_shares,curr_shares,delta,status
2481,強茂,1716000,3648000,1932000,UP
2454,聯發科,1067000,1540000,473000,UP
2327,國巨*,13128000,13418000,290000,UP
2449,京元電子,9275000,9479000,204000,UP
2368,金像電,6821000,6971000,150000,UP
3711,日月光投控,6535000,6679000,144000,UP
2330,台積電,6121000,6256000,135000,UP
8358,金居,5389000,5508000,119000,UP
2002,中鋼,5052000,5156000,104000,UP
2308,台達電,4610000,4711000,101000,UP
6805,富世達,1308000,1404000,96000,UP
2345,智邦,3878000,3963000,85000,UP
6191,精成科,3585000,3664000,79000,UP
3665,貿聯-KY,3260848,3332848,72000,UP
3017,奇鋐,3202000,3272000,70000,UP
3653,健策,1837000,1906000,69000,UP
3264,欣銓,2989000,3055000,66000,UP
6274,台燿,2954000,3019000,65000,UP
3189,景碩,2764000,2825000,61000,UP
5439,高技,1719000,1756000,37000,UP
3376,新日興,1465000,1497000,32000,UP
6223,旺矽,1489000,1521000,32000,UP
6488,環球晶,1434000,1465000,31000,UP
8210,勤誠,944000,964000,20000,UP
2404,漢唐,804000,821000,17000,UP
6510,精測,620000,633000,13000,UP
1319,東陽,493000,504000,11000,UP
3217,優群,545000,556000,11000,UP
6187,萬潤,388000,396000,8000,UP
5274,信驊,343000,350000,7000,UP
6515,穎崴,305000,311000,6000,UP
3661,世芯-KY,251000,256000,5000,UP
6669,緯穎,195000,199000,4000,UP
3324,雙鴻,163000,166000,3000,UP
2313,華通,59000,60000,1000,UP
3211,順達,3850000,3702000,-148000,DOWN
1303,南亞,16352000,16352000,0,SAME
1815,富喬,106000,106000,0,SAME
2357,華碩,11000,11000,0,SAME
2383,台光電,3012000,3012000,0,SAME
2439,美律,11000,11000,0,SAME
3008,大立光,12000,12000,0,SAME
3037,欣興,9287000,9287000,0,SAME
3045,台灣大,11000,11000,0,SAME
3443,創意,271000,271000,0,SAME
3583,辛耘,527000,527000,0,SAME
4979,華星光,1037000,1037000,0,SAME
5347,世界,10000,10000,0,SAME
6147,頎邦,7884000,7884000,0,SAME
8046,南電,8389000,8389000,0,SAME
8996,高力,535000,535000,0,SAME
