code,name,shares
2337,旺宏,8886000
2327,國巨*,5677000
6274,台燿,5074000
2313,華通,5013000
1815,富喬,4454000
2368,金像電,3321000
6191,精成科,3238000
2330,台積電,3065000
8046,南電,2965000
2308,台達電,2679000
1319,東陽,2563000
2345,智邦,2526000
3017,奇鋐,2290000
1802,台玻,2065000
8358,金居,2026000
3037,欣興,1866000
1303,南亞,1601000
8210,勤誠,1513000
2383,台光電,1499000
3665,貿聯-KY,1483848
6415,矽力*-KY,1474000
8299,群聯,1358000
6805,富世達,1016000
6223,旺矽,962000
2317,鴻海,901000
3653,健策,767000
2454,聯發科,733000
3376,新日興,727000
6669,緯穎,722000
6139,亞翔,668000
3211,順達,570000
6488,環球晶,470000
3661,世芯-KY,458000
3533,嘉澤,376000
3217,優群,326000
5269,祥碩,262000
6515,穎崴,193000
2059,川湖,147000
5274,信驊,142000
6510,精測,47000
5536,聖暉*,17000
3008,大立光,3000
2884,玉山金,2010
3583,辛耘,2000
2439,美律,2000
2357,華碩,2000
3045,台灣大,2000
3711,日月光投控,2000
3715,定穎投控,1960
2449,京元電子,1000
8996,高力,1000
