code,name,shares
1303,南亞,15337000
2327,國巨*,10803000
1326,台化,8828000
3037,欣興,7410000
2449,京元電子,7082000
2368,金像電,5841000
8046,南電,4956000
2002,中鋼,4927000
2330,台積電,4873000
2308,台達電,4339000
3711,日月光投控,4259000
5347,世界,3849000
6191,精成科,3400000
2345,智邦,3219000
3017,奇鋐,2976000
3665,貿聯-KY,2678848
3189,景碩,2657000
2383,台光電,2558000
8358,金居,1865000
3264,欣銓,1790000
6139,亞翔,1724000
6488,環球晶,1701000
8210,勤誠,1622000
3211,順達,1596000
1319,東陽,1502000
3376,新日興,1426000
6223,旺矽,1384000
3653,健策,1378000
2408,南亞科,1306000
4979,華星光,1037000
6274,台燿,845000
6805,富世達,682000
6510,精測,591000
2404,漢唐,574000
3661,世芯-KY,531000
2454,聯發科,487000
3217,優群,356000
8996,高力,335000
6515,穎崴,268000
3443,創意,265000
5274,信驊,258000
3324,雙鴻,159000
3533,嘉澤,115000
6669,緯穎,74000
3008,大立光,8000
3045,台灣大,6000
2357,華碩,6000
2439,美律,6000
3583,辛耘,6000
2313,華通,5000
5536,聖暉*,5000
1815,富喬,3000
