code,name,shares
1303,南亞,15336000
1326,台化,8827000
2327,國巨*,8794000
1802,台玻,5996000
3037,欣興,5952000
2449,京元電子,5886000
2368,金像電,5600000
2002,中鋼,4926000
8046,南電,4656000
2308,台達電,4309000
3711,日月光投控,4258000
2330,台積電,3975000
6191,精成科,3399000
2345,智邦,2952000
3017,奇鋐,2572000
2383,台光電,2427000
3665,貿聯-KY,2243848
8358,金居,1864000
8210,勤誠,1857000
3264,欣銓,1789000
6139,亞翔,1704000
6488,環球晶,1700000
3211,順達,1576000
1319,東陽,1501000
6274,台燿,1463000
3376,新日興,1425000
6223,旺矽,1366000
3189,景碩,1310000
3653,健策,1297000
4979,華星光,1219000
6805,富世達,893000
6510,精測,590000
3661,世芯-KY,589000
2404,漢唐,573000
2454,聯發科,486000
3217,優群,355000
6669,緯穎,273000
6515,穎崴,248000
5274,信驊,205000
3324,雙鴻,158000
8996,高力,151000
3533,嘉澤,100000
3008,大立光,7000
2357,華碩,5000
3583,辛耘,5000
3045,台灣大,5000
2439,美律,5000
2059,川湖,4000
5536,聖暉*,4000
2313,華通,4000
1815,富喬,2000
8299,群聯,1000
