code,name,shares
1303,南亞,20441000
2327,國巨*,12928000
3037,欣興,9287000
1326,台化,9223000
2449,京元電子,9125000
8046,南電,8269000
6147,頎邦,7884000
2368,金像電,6771000
3711,日月光投控,6415000
2330,台積電,6013000
2002,中鋼,5051000
8358,金居,4809000
2308,台達電,4560000
3211,順達,3849000
2345,智邦,3818000
6191,精成科,3485000
3665,貿聯-KY,3210848
3017,奇鋐,3142000
3264,欣銓,2988000
6274,台燿,2954000
2383,台光電,2932000
3189,景碩,2764000
3653,健策,1777000
2481,強茂,1676000
6223,旺矽,1469000
3376,新日興,1464000
6488,環球晶,1414000
5439,高技,1404000
6805,富世達,1188000
4979,華星光,1037000
8210,勤誠,864000
2404,漢唐,803000
2454,聯發科,679000
6510,精測,606000
8996,高力,535000
3583,辛耘,527000
3217,優群,495000
1319,東陽,492000
6187,萬潤,388000
5274,信驊,331000
6515,穎崴,290000
3443,創意,271000
3661,世芯-KY,241000
6669,緯穎,175000
3324,雙鴻,162000
3008,大立光,11000
2357,華碩,10000
2439,美律,10000
3045,台灣大,10000
2313,華通,9000
5347,世界,9000
1815,富喬,6000
