code,name,shares
2327,國巨*,8426000
1802,台玻,5996000
3037,欣興,5952000
2449,京元電子,5885000
2368,金像電,5580000
2002,中鋼,4925000
8046,南電,4559000
2308,台達電,4289000
3711,日月光投控,4257000
2330,台積電,3895000
6191,精成科,3398000
1303,南亞,3184000
2345,智邦,2892000
3017,奇鋐,2552000
2383,台光電,2412000
3665,貿聯-KY,2223848
8358,金居,1864000
8210,勤誠,1856000
3264,欣銓,1788000
6488,環球晶,1699000
6139,亞翔,1694000
3211,順達,1575000
1319,東陽,1500000
6274,台燿,1462000
3376,新日興,1425000
6223,旺矽,1346000
3653,健策,1247000
4979,華星光,1219000
6805,富世達,1124000
6669,緯穎,797000
3661,世芯-KY,588000
2404,漢唐,572000
6510,精測,521000
2454,聯發科,485000
3217,優群,354000
6515,穎崴,248000
5274,信驊,204000
3324,雙鴻,157000
3533,嘉澤,99000
3008,大立光,6000
2439,美律,4000
2357,華碩,4000
3045,台灣大,4000
3583,辛耘,4000
2313,華通,3000
2059,川湖,3000
1326,台化,3000
5536,聖暉*,3000
1815,富喬,2000
8299,群聯,1000
8996,高力,1000
