code,name,shares
2327,國巨*,7937000
1802,台玻,5996000
3037,欣興,5952000
6274,台燿,4965000
2002,中鋼,4924000
8046,南電,4559000
6191,精成科,3378000
2330,台積電,3333000
2308,台達電,3203000
2449,京元電子,2976000
2368,金像電,2947000
2345,智邦,2660000
3017,奇鋐,2502000
3665,貿聯-KY,2079848
8358,金居,1864000
2383,台光電,1809000
6139,亞翔,1689000
8210,勤誠,1633000
3211,順達,1565000
1319,東陽,1499000
3376,新日興,1395000
6488,環球晶,1285000
4979,華星光,1219000
6805,富世達,1124000
6223,旺矽,1059000
3653,健策,973000
8299,群聯,871000
6669,緯穎,756000
3661,世芯-KY,568000
2404,漢唐,567000
3217,優群,353000
3711,日月光投控,302000
6510,精測,293000
6515,穎崴,236000
2454,聯發科,201000
3324,雙鴻,156000
5274,信驊,104000
3008,大立光,5000
3583,辛耘,3000
2439,美律,3000
2357,華碩,3000
3045,台灣大,3000
1815,富喬,2000
1326,台化,2000
2059,川湖,2000
2313,華通,2000
1303,南亞,2000
3533,嘉澤,2000
5536,聖暉*,2000
8996,高力,1000
