code,name,shares
2303,聯電,87718000
2327,國巨*,25437000
3037,欣興,17833000
3711,日月光投控,16327000
2330,台積電,10740000
8046,南電,9519000
2368,金像電,7579000
2449,京元電子,7543450
2345,智邦,6419000
2308,台達電,5932000
3017,奇鋐,5666000
6274,台燿,5229000
2454,聯發科,5200000
2002,中鋼,5163000
3665,貿聯-KY,5130848
2383,台光電,4715000
6191,精成科,3988000
6278,台表科,3250000
6669,緯穎,2564000
6223,旺矽,2443000
3653,健策,2375000
8210,勤誠,2297000
6271,同欣電,2224000
6805,富世達,1957000
6147,頎邦,1880000
4979,華星光,1874000
3376,新日興,1741000
4958,臻鼎-KY,1682000
3264,欣銓,1508000
6187,萬潤,1334000
2408,南亞科,940000
1590,亞德客-KY,528000
5274,信驊,454900
2360,致茂,348000
6510,精測,261000
4966,譜瑞-KY,140000
6515,穎崴,93000
2481,強茂,5000
3008,大立光,1000
2317,鴻海,1000
2439,美律,1000
2382,廣達,1000
2313,華通,1000
5347,世界,1000
3443,創意,1000
3533,嘉澤,1000
3661,世芯-KY,1000
6488,環球晶,1000
8150,南茂,1000
8358,金居,1000
8996,高力,1000
