code,name,shares
2303,聯電,89118000
2327,國巨*,24987000
3037,欣興,20300000
3711,日月光投控,16811000
2449,京元電子,12818450
2330,台積電,11864000
8046,南電,9426000
2308,台達電,7240000
6669,緯穎,6490561
2345,智邦,6464000
3017,奇鋐,5949000
6274,台燿,5398000
2454,聯發科,5186000
2002,中鋼,5163000
3264,欣銓,5028000
2383,台光電,4750000
3665,貿聯-KY,4280848
6191,精成科,3988000
6278,台表科,3248000
4958,臻鼎-KY,2712000
6223,旺矽,2546000
3653,健策,2477000
6271,同欣電,2222000
3376,新日興,1740000
6805,富世達,1731000
8210,勤誠,1516000
8996,高力,700000
6510,精測,637000
2313,華通,501000
3443,創意,372000
2368,金像電,219000
5274,信驊,207900
6515,穎崴,95000
2481,強茂,5000
2439,美律,1000
2408,南亞科,1000
2382,廣達,1000
2360,致茂,1000
2317,鴻海,1000
1590,亞德客-KY,1000
2637,慧洋-KY,1000
3008,大立光,1000
5347,世界,1000
4979,華星光,1000
4966,譜瑞-KY,1000
3661,世芯-KY,1000
6488,環球晶,1000
6187,萬潤,1000
8150,南茂,1000
8358,金居,1000
